Local time,Open,High,Low,Close,Volume
01.08.2022 23:00:00.000 GMT+0200,4.71332,4.73083,4.69690,4.71236,22475.030100000004
02.08.2022 23:00:00.000 GMT+0200,4.71160,4.73043,4.68809,4.69425,31141.209899999987
03.08.2022 23:00:00.000 GMT+0200,4.69280,4.73764,4.68825,4.70363,25614.4598
04.08.2022 23:00:00.000 GMT+0200,4.69757,4.71706,4.69481,4.70465,16820.050300000003
05.08.2022 23:00:00.000 GMT+0200,4.70465,4.70465,4.70465,4.70465,0
06.08.2022 23:00:00.000 GMT+0200,4.70465,4.70465,4.70465,4.70465,0
07.08.2022 23:00:00.000 GMT+0200,4.70852,4.71415,4.69163,4.69435,15857.980000000001
08.08.2022 23:00:00.000 GMT+0200,4.69218,4.71066,4.68267,4.69706,35448.7498
09.08.2022 23:00:00.000 GMT+0200,4.69627,4.71604,4.66747,4.67382,28929.180000000004
10.08.2022 23:00:00.000 GMT+0200,4.66589,4.68733,4.66309,4.68346,23487.859799999995
11.08.2022 23:00:00.000 GMT+0200,4.68231,4.68950,4.65442,4.65751,27444.73019999999
12.08.2022 23:00:00.000 GMT+0200,4.65751,4.65751,4.65751,4.65751,0
13.08.2022 23:00:00.000 GMT+0200,4.65751,4.65751,4.65751,4.65751,0
14.08.2022 23:00:00.000 GMT+0200,4.65573,4.69325,4.65441,4.67675,21621.71
15.08.2022 23:00:00.000 GMT+0200,4.67439,4.70536,4.66223,4.66676,35160.520099999994
16.08.2022 23:00:00.000 GMT+0200,4.66577,4.70809,4.65117,4.69633,32892.16999999999
17.08.2022 23:00:00.000 GMT+0200,4.69835,4.73472,4.68767,4.72495,30643.759999999995
18.08.2022 23:00:00.000 GMT+0200,4.72362,4.76114,4.70735,4.75246,20964.6301
19.08.2022 23:00:00.000 GMT+0200,4.75246,4.75246,4.75246,4.75246,0
20.08.2022 23:00:00.000 GMT+0200,4.75246,4.75246,4.75246,4.75246,0
21.08.2022 23:00:00.000 GMT+0200,4.74544,4.77743,4.74105,4.75915,26231.609899999996
22.08.2022 23:00:00.000 GMT+0200,4.75906,4.78572,4.75401,4.76454,40109.6698
23.08.2022 23:00:00.000 GMT+0200,4.76717,4.78801,4.76115,4.76505,24865.3299
24.08.2022 23:00:00.000 GMT+0200,4.76449,4.76820,4.73343,4.73409,19021.180099999998
25.08.2022 23:00:00.000 GMT+0200,4.73397,4.75727,4.72648,4.73653,20062.599999999995
26.08.2022 23:00:00.000 GMT+0200,4.73653,4.73653,4.73653,4.73653,0
27.08.2022 23:00:00.000 GMT+0200,4.73653,4.73653,4.73653,4.73653,0
28.08.2022 23:00:00.000 GMT+0200,4.73515,4.75551,4.72522,4.73027,48415.8602
29.08.2022 23:00:00.000 GMT+0200,4.72542,4.73919,4.71908,4.72145,27432.4499
30.08.2022 23:00:00.000 GMT+0200,4.72043,4.73703,4.71348,4.71722,23384.599799999996
31.08.2022 23:00:00.000 GMT+0200,4.71279,4.72834,4.70371,4.71196,35515.4
01.09.2022 23:00:00.000 GMT+0200,4.71009,4.72894,4.69441,4.71288,17036.6501
02.09.2022 23:00:00.000 GMT+0200,4.71288,4.71288,4.71288,4.71288,0
03.09.2022 23:00:00.000 GMT+0200,4.71288,4.71288,4.71288,4.71288,0
04.09.2022 23:00:00.000 GMT+0200,4.71624,4.74433,4.69349,4.71845,48774.7694
05.09.2022 23:00:00.000 GMT+0200,4.71423,4.73208,4.70471,4.72775,41018.4096
06.09.2022 23:00:00.000 GMT+0200,4.72776,4.73805,4.70331,4.70795,64288.189900000005
07.09.2022 23:00:00.000 GMT+0200,4.70386,4.73093,4.69431,4.70195,53316.5798
08.09.2022 23:00:00.000 GMT+0200,4.70117,4.73372,4.68805,4.69302,39371.710199999994
09.09.2022 23:00:00.000 GMT+0200,4.69302,4.69302,4.69302,4.69302,0
10.09.2022 23:00:00.000 GMT+0200,4.69302,4.69302,4.69302,4.69302,0
11.09.2022 23:00:00.000 GMT+0200,4.69630,4.71304,4.68043,4.68955,31740.190100000007
12.09.2022 23:00:00.000 GMT+0200,4.68894,4.72346,4.68611,4.71425,23733.03
13.09.2022 23:00:00.000 GMT+0200,4.70839,4.73254,4.70618,4.71136,32750.210100000004
14.09.2022 23:00:00.000 GMT+0200,4.70897,4.73408,4.70589,4.72287,31543.239999999994
15.09.2022 23:00:00.000 GMT+0200,4.71994,4.72658,4.70957,4.71612,34930.45009999999
16.09.2022 23:00:00.000 GMT+0200,4.71612,4.71612,4.71612,4.71612,0
17.09.2022 23:00:00.000 GMT+0200,4.71612,4.71612,4.71612,4.71612,0
18.09.2022 23:00:00.000 GMT+0200,4.71775,4.72003,4.69985,4.70206,28349.680400000005
19.09.2022 23:00:00.000 GMT+0200,4.70093,4.74325,4.69813,4.72533,44289.9296
20.09.2022 23:00:00.000 GMT+0200,4.71836,4.78621,4.70574,4.76824,54436.4
21.09.2022 23:00:00.000 GMT+0200,4.75950,4.78883,4.74339,4.74577,57699.04990000001
22.09.2022 23:00:00.000 GMT+0200,4.73892,4.76886,4.71581,4.73896,46852.69010000001
23.09.2022 23:00:00.000 GMT+0200,4.73896,4.73896,4.73896,4.73896,0
24.09.2022 23:00:00.000 GMT+0200,4.73896,4.73896,4.73896,4.73896,0
25.09.2022 23:00:00.000 GMT+0200,4.73082,4.76807,4.72524,4.75305,62072.250799999994
26.09.2022 23:00:00.000 GMT+0200,4.74599,4.79257,4.74599,4.78338,47947.48010000001
27.09.2022 23:00:00.000 GMT+0200,4.78289,4.83182,4.77805,4.80295,72980.02950000002
28.09.2022 23:00:00.000 GMT+0200,4.79955,4.87389,4.79326,4.85197,58910.1603
29.09.2022 23:00:00.000 GMT+0200,4.84534,4.89868,4.83125,4.85653,52200.259900000005
30.09.2022 23:00:00.000 GMT+0200,4.85653,4.85653,4.85653,4.85653,0
01.10.2022 23:00:00.000 GMT+0200,4.85653,4.85653,4.85653,4.85653,0
02.10.2022 23:00:00.000 GMT+0200,4.84466,4.85687,4.80788,4.82730,66604.10019999999
