Local time,Open,High,Low,Close,Volume
09.08.2020 23:00:00.000 GMT+0200,4.40315,4.41505,4.39602,4.39845,28256.58
10.08.2020 23:00:00.000 GMT+0200,4.39753,4.40911,4.39469,4.40635,53519.570100000004
11.08.2020 23:00:00.000 GMT+0200,4.40546,4.41373,4.39511,4.40015,58880.12009999999
12.08.2020 23:00:00.000 GMT+0200,4.39835,4.40285,4.38990,4.39725,46223.7499
13.08.2020 23:00:00.000 GMT+0200,4.39579,4.40372,4.38559,4.38980,39482.85
14.08.2020 23:00:00.000 GMT+0200,4.38980,4.38980,4.38980,4.38980,0
15.08.2020 23:00:00.000 GMT+0200,4.38980,4.38980,4.38980,4.38980,0
16.08.2020 23:00:00.000 GMT+0200,4.39487,4.40082,4.38249,4.39465,25685.660099999994
17.08.2020 23:00:00.000 GMT+0200,4.39485,4.40126,4.37452,4.37506,50749.95020000001
18.08.2020 23:00:00.000 GMT+0200,4.37381,4.41283,4.36871,4.39927,49688.7603
19.08.2020 23:00:00.000 GMT+0200,4.39617,4.40532,4.37893,4.37893,45492.20020000001
20.08.2020 23:00:00.000 GMT+0200,4.37761,4.41579,4.37253,4.40812,52400.120200000005
21.08.2020 23:00:00.000 GMT+0200,4.40812,4.40812,4.40812,4.40812,0
22.08.2020 23:00:00.000 GMT+0200,4.40812,4.40812,4.40812,4.40812,0
23.08.2020 23:00:00.000 GMT+0200,4.40239,4.41526,4.38444,4.38896,36144.0901
24.08.2020 23:00:00.000 GMT+0200,4.38926,4.40281,4.38435,4.40036,37428.619900000005
25.08.2020 23:00:00.000 GMT+0200,4.39807,4.42366,4.38513,4.41216,34566.44
26.08.2020 23:00:00.000 GMT+0200,4.41182,4.42046,4.39445,4.40796,48587.0901
27.08.2020 23:00:00.000 GMT+0200,4.40797,4.41049,4.37611,4.37611,53179.46089999999
28.08.2020 23:00:00.000 GMT+0200,4.37611,4.37611,4.37611,4.37611,0
29.08.2020 23:00:00.000 GMT+0200,4.37611,4.37611,4.37611,4.37611,0
30.08.2020 23:00:00.000 GMT+0200,4.38100,4.40155,4.38100,4.39675,33175.33010000001
31.08.2020 23:00:00.000 GMT+0200,4.39520,4.39766,4.38359,4.38685,27524.850099999996
01.09.2020 23:00:00.000 GMT+0200,4.38481,4.42089,4.38405,4.41176,43497.449499999995
02.09.2020 23:00:00.000 GMT+0200,4.40980,4.44199,4.40463,4.43545,40411.11
03.09.2020 23:00:00.000 GMT+0200,4.43291,4.47014,4.42331,4.44948,35070.03999999999
04.09.2020 23:00:00.000 GMT+0200,4.44948,4.44948,4.44948,4.44948,0
05.09.2020 23:00:00.000 GMT+0200,4.44948,4.44948,4.44948,4.44948,0
06.09.2020 23:00:00.000 GMT+0200,4.45500,4.46553,4.42631,4.43435,40949.51980000001
07.09.2020 23:00:00.000 GMT+0200,4.42631,4.46023,4.41686,4.44292,43900.3897
08.09.2020 23:00:00.000 GMT+0200,4.44276,4.45995,4.43157,4.44105,25941.9401
09.09.2020 23:00:00.000 GMT+0200,4.44115,4.46096,4.43695,4.45285,28829.410099999994
10.09.2020 23:00:00.000 GMT+0200,4.45295,4.45663,4.43575,4.43575,17278.25
11.09.2020 23:00:00.000 GMT+0200,4.43575,4.43575,4.43575,4.43575,0
